date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:04:07	2000/2000	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Nov%202017%2019:04:07%20GMT	http://bgf-records.000webhostapp.com/img/store-arrow.png	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/img/store-arrow.png	(from http://bgf-records.000webhostapp.com/css/site.css?v=20171116120930)
21:04:14	165548/165548	---M--	200	added ('OK')	application/font-sfnt	date:Fri,%2022%20Sep%202017%2012:45:22%20GMT	http://bgf-records.000webhostapp.com/css/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/css/fonts/fontawesome-webfont3e6e.ttf	(from http://bgf-records.000webhostapp.com/css/font-awesome/font-awesome.min.css?v=4.7.0)
21:04:14	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2022%20Sep%202017%2012:45:04%20GMT	http://bgf-records.000webhostapp.com/css/fonts/fontawesome-webfont.eot?	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/css/fonts/fontawesome-webfontd41d.eot	(from http://bgf-records.000webhostapp.com/css/font-awesome/font-awesome.min.css?v=4.7.0)
21:04:15	8414/8414	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Nov%202017%2019:04:15%20GMT	http://bgf-records.000webhostapp.com/English	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/English.html	(from http://bgf-records.000webhostapp.com/English/)
21:04:16	6732/6732	---MCZ	200	added ('OK')	text/css	date:Tue,%2028%20Nov%202017%2019:04:16%20GMT	http://bgf-records.000webhostapp.com/css/2.css?ts=1511897516	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/css/2adc0.css	(from http://bgf-records.000webhostapp.com/English/)
21:04:16	5404/5404	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Nov%202017%2019:04:16%20GMT	http://bgf-records.000webhostapp.com/Language/	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/Language/index.html	(from http://bgf-records.000webhostapp.com/English/)
21:04:17	8213/8213	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202017%2023:50:32%20GMT	http://bgf-records.000webhostapp.com/gallery_gen/12e32855d16834a0a292658f5d28c77c_200x130.png	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/gallery_gen/12e32855d16834a0a292658f5d28c77c_200x130.png	(from http://bgf-records.000webhostapp.com/English/)
21:04:17	4442/4442	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Nov%202017%2022:19:18%20GMT	http://bgf-records.000webhostapp.com/gallery_gen/52f8c8093311b65814a5275a2ace611b_200x60.png	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/gallery_gen/52f8c8093311b65814a5275a2ace611b_200x60.png	(from http://bgf-records.000webhostapp.com/English/)
21:04:24	40025/40025	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202017%2023:50:32%20GMT	http://bgf-records.000webhostapp.com/gallery_gen/10c91fa524adcb201f5e15d24d9bb93f_170x220.png	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/gallery_gen/10c91fa524adcb201f5e15d24d9bb93f_170x220.png	(from http://bgf-records.000webhostapp.com/English/)
21:04:25	3292/3292	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Nov%202017%2022:25:58%20GMT	http://bgf-records.000webhostapp.com/gallery_gen/9c0399b21a76bf6038695cbc48ac7a1f_180x60.png	C:/Users/King/Desktop/swww/sdaasdsdasda/bgf-records.000webhostapp.com/gallery_gen/9c0399b21a76bf6038695cbc48ac7a1f_180x60.png	(from http://bgf-records.000webhostapp.com/English/)
